Step,Total Reward,Collisions,Safe Gaps
1,-770,3,10
2,-833,3,11
3,-429,1,7
4,-631,2,9
5,-478,2,6
6,-579,2,8
7,-871,5,8
8,-477,2,6
9,-625,3,7
10,-478,2,6
11,-478,2,6
12,-732,2,11
13,-630,2,9
14,-479,1,8
15,-478,2,6
16,-630,2,9
17,-478,2,6
18,-476,3,4
19,-478,2,6
20,-478,2,6
21,-478,2,6
22,-579,2,8
23,-631,2,9
24,-478,2,6
25,-478,2,6
26,-274,1,4
27,-631,2,9
28,-731,3,9
29,-680,3,8
30,-172,1,2
31,-631,2,9
32,-172,1,2
33,-640,3,5
34,-689,3,7
35,-278,2,3
35,-291,2,4
36,-583,3,4
37,-546,3,5
38,-556,4,3
33,-478,2,6
34,-478,2,6
35,-478,2,6
35,-480,3,5
36,-478,2,6
36,-478,2,6
36,-478,2,6
18,-476,3,4
36,-478,2,6
36,-478,2,6
36,-480,2,7
